Campagne,Site,Station,Transect,Type de poisson (Code),Décompte
2004,Luengoni,Jo ne weg,1,API,2
2004,Luengoni,Jo ne weg,2,PAP,0
2004,Luengoni,Jo ne weg,2,ALO,2
2004,Luengoni,Jo ne weg,3,BEB,0
2004,Luengoni,Jo ne weg,3,APE,2
2004,Luengoni,Jo ne weg,4,AGL,0
2004,Luengoni,Jo ne weg,4,BEB,0
2004,Luengoni,Jo ne weg,4,BOS,0
2004,Luengoni,Jo ne weg,4,NAP,0
2004,Luengoni,Jo ne weg,4,APE,2
2005,Luengoni,Jo ne weg,1,ALO,0
2005,Luengoni,Jo ne weg,1,API,2
2005,Luengoni,Jo ne weg,1,BLE,0
2005,Luengoni,Jo ne weg,1,APE,11
2005,Luengoni,Jo ne weg,2,AGL,0
2005,Luengoni,Jo ne weg,2,API,3
2005,Luengoni,Jo ne weg,2,BOS,0
2005,Luengoni,Jo ne weg,2,DAW,0
2005,Luengoni,Jo ne weg,3,PAP,0
2005,Luengoni,Jo ne weg,3,AGL,0
2005,Luengoni,Jo ne weg,4,PAP,2
2005,Luengoni,Jo ne weg,4,ALO,0
2005,Luengoni,Jo ne weg,4,API,11
2005,Luengoni,Jo ne weg,4,TRU,0
2006,Luengoni,Jo ne weg,1,AGL,0
2006,Luengoni,Jo ne weg,1,BOS,0
2006,Luengoni,Jo ne weg,1,CAS,0
2006,Luengoni,Jo ne weg,1,TRU,0
2006,Luengoni,Jo ne weg,2,ALO,0
2006,Luengoni,Jo ne weg,2,BEB,0
2006,Luengoni,Jo ne weg,2,CAS,0
2006,Luengoni,Jo ne weg,2,DAW,0
2006,Luengoni,Jo ne weg,2,SAU,0
2006,Luengoni,Jo ne weg,3,ALO,0
2006,Luengoni,Jo ne weg,3,AGL,0
2006,Luengoni,Jo ne weg,3,APE,3
2006,Luengoni,Jo ne weg,4,API,6
2006,Luengoni,Jo ne weg,4,BEB,0
2006,Luengoni,Jo ne weg,4,NAP,0
2006,Luengoni,Jo ne weg,4,TRU,0
2007,Luengoni,Jo ne weg,1,ALO,0
